feature,coverage,unique_values,correlation,correlation_pvalue,q1_rate,q4_rate,q4_q1_lift,quartile_pvalue,recommendation,chi2,chi2_pvalue,best_category,best_category_rate,worst_category_rate,category_lift
log_firm_aum,1.0,3670,-0.036346138283734966,1.6933062783597862e-08,0.03389830508474576,0.007905939590512872,0.23322521792012973,4.037181918372801e-20,WEAK - Significant but small effect,,,,,,
aum_per_rep,0.7508308408109007,3249,0.0031308581575594362,0.673840396708795,0.02982779827798278,0.021705426356589147,0.7276912011508032,0.009041423796079773,SKIP - Not significant,,,,,,
firm_aum_bucket,1.0,5,,,,,,,PROMISING - Significant signal,33.344086765569415,1.0155710815411442e-06,Small (<$100M),0.03741496598639456,0.0207803941498673,1.8004935669920141
has_accolade,1.0,2,,,,,,,PROMISING - Significant signal,5.0128475526118645,0.0251598897194422,0,0.02464742322393568,0.014492753623188406,1.700672202451562
accolade_count,1.0,18,,,,,,,SKIP - Not significant,8.009086927374941,0.9663519820322367,7,0.047619047619047616,0.0,
max_accolade_prestige,1.0,3,,,,,,,WEAK - Significant but small effect,6.877794660676882,0.03210006158415709,1,0.024677877265778553,0.0,
uses_schwab,1.0,1,,,,,,,SKIP - Not significant,,1.0,0,0.024094383516118312,0.024094383516118312,1.0
uses_fidelity,1.0,1,,,,,,,SKIP - Not significant,,1.0,0,0.024094383516118312,0.024094383516118312,1.0
custodian_tier,1.0,2,,,,,,,SKIP - Not significant,1.6748938903048376,0.19560431835006414,Unknown,0.026106073097004672,0.023222579492675956,1.1241676707464012
num_licenses,1.0,15,,,,,,,WEAK - Significant but small effect,59.73593800469438,1.3051309636198567e-07,11,0.07692307692307693,0.0,
has_series_66,1.0,2,,,,,,,SKIP - Not significant,1.688318183242099,0.19382281806574397,0,0.02563851648889324,0.02295531653793402,1.1168879525806228
license_sophistication_score,1.0,15,,,,,,,WEAK - Significant but small effect,59.73593800469438,1.3051309636198567e-07,11,0.07692307692307693,0.0,
has_disclosure,1.0,2,,,,,,,SKIP - Not significant,1.0040060480498494,0.31634309925780074,1,0.026419753086419754,0.023624013585056437,1.1183431211338188
disclosure_count,1.0,22,,,,,,,WEAK - Significant but small effect,41.33784118558145,0.005091396121898275,10,0.3333333333333333,0.0,
